Document,Name of contributer,Description of contents,In DAS?
nico_10_report_edits_emil.docx,Emil de Borger ,"Cruise report of NICO 10, extract of casino data.",No
Schaafdata 64PE438.xlsx,Rob Witbaard,"Biological data of TripleD during NICO 10. Species, counts, wet weights, and comments. Also some preparations for import in R, and station information.",No
31135633_Bodemschaaf FrieseFront 2018_RWS_Database_V7.xlsx,Rob Witbaard,Triple-D data collected at the Frysian Front in 2018.,No
datasheet_Bodemschaaf_alle_trekken_100117aangepastFormat.xlsx,Rob Witbaard,RWS 2015?,No
Kopie van logboek.xlsx,Rob Witbaard,Logbook of the 2018 expedition to the Frysian Front with the Triple-D.,No
biomass equation codes.xlsx,Marc Lavaleye,Regression equations to estimate biomass from size measurements for different species.,No
first 1000 records schaafdatabase Lava.xlsx,Marc Lavaleye,The first 1000 records from the Triple-D database constructed and maintained by Marc Lavaleye.,No
31144108_Definitief-bestand_MZBzout_Bodemschaven_2019_versie03_definitie.._.xlsx,Rob Witbaard,Triple-D data collected by RWS in 2019.,No
